Member Id,Survey Id,Status,Length
1,16,4,10
1,25,3,
1,45,4,24
1,79,3,
1,82,4,6
1,95,2,
2,1,4,20
2,18,4,16
2,30,4,21
2,44,4,24
2,49,3,
2,51,4,19
2,60,4,16
2,62,3,
2,65,3,
2,82,4,24
2,85,4,19
2,97,4,18
3,3,3,
3,13,3,
3,16,4,6
3,23,3,
3,25,4,9
3,38,3,
3,47,4,7
3,51,4,19
3,58,4,20
3,64,4,9
3,78,4,5
3,79,3,
3,81,2,
3,82,3,
4,20,4,7
4,35,2,
4,50,4,10
4,62,4,5
4,64,3,
4,75,3,
5,3,2,
5,4,4,6
5,15,2,
5,57,4,19
5,60,4,11
5,68,3,
6,20,4,9
6,30,3,
6,40,4,18
6,59,4,12
6,63,4,19
6,65,3,
6,75,3,
6,77,4,23
6,83,4,6
6,86,3,
6,96,3,
6,100,4,6
7,2,4,11
7,10,4,25
7,24,2,
7,33,4,9
7,54,3,
7,66,3,
7,78,2,
8,12,4,8
8,21,4,22
8,44,4,12
8,46,4,24
8,52,4,20
8,54,2,
8,57,2,
8,59,4,11
8,70,4,8
8,73,4,23
8,77,2,
8,79,3,
8,88,4,12
8,96,4,14
9,6,4,8
9,21,4,17
9,22,3,
9,54,4,9
9,61,4,21
9,98,4,18
9,100,4,14
10,2,4,11
10,4,3,
10,17,4,7
10,27,4,16
10,30,4,5
10,33,4,20
10,35,4,13
10,36,4,10
10,43,4,24
10,71,4,11
10,72,4,16
10,79,3,
10,80,2,
10,81,4,9
10,84,4,16
10,87,3,
10,93,4,7
10,100,2,
11,5,3,
11,20,4,6
11,23,4,11
11,30,4,16
11,34,4,18
11,41,4,8
11,66,2,
11,67,4,25
11,70,4,17
11,85,4,5
11,88,4,20
11,89,2,
11,91,2,
12,2,4,18
12,3,4,5
12,4,3,
12,6,2,
12,17,4,6
12,21,3,
12,31,4,18
12,39,4,5
12,47,4,7
12,58,4,18
12,63,4,8
12,86,4,25
12,91,3,
12,94,4,16
13,23,4,15
13,24,4,21
13,25,4,10
13,28,4,5
13,37,4,23
13,53,3,
13,61,4,18
13,65,4,9
13,69,4,11
13,76,4,8
13,78,4,12
13,82,2,
13,97,4,11
14,3,4,23
14,12,4,18
14,15,3,
14,25,4,11
14,27,3,
14,29,4,15
14,31,4,14
14,47,4,12
14,57,3,
14,60,3,
14,64,4,16
14,74,4,18
14,86,4,18
14,87,3,
15,3,4,6
15,16,4,18
15,23,4,25
15,36,3,
15,60,3,
15,65,4,12
15,81,4,8
15,97,4,18
15,99,4,16
16,4,4,23
16,19,4,19
16,24,4,21
16,28,4,5
16,32,2,
16,36,4,19
16,54,3,
16,61,4,10
16,69,4,18
16,84,4,12
16,93,4,22
17,4,4,16
17,6,4,15
17,18,4,20
17,37,4,14
17,63,4,25
17,65,3,
17,67,3,
17,79,3,
17,95,4,13
17,100,4,20
18,5,3,
18,13,2,
18,18,4,24
18,27,3,
18,34,4,6
18,37,2,
18,41,4,10
18,61,4,14
18,62,4,15
18,92,4,6
18,93,4,17
18,94,4,9
19,15,4,12
19,22,3,
19,26,3,
19,28,2,
19,34,4,12
19,51,4,8
19,54,4,7
19,79,4,9
19,88,4,14
20,4,3,
20,10,3,
20,27,4,18
20,29,2,
20,32,4,17
20,40,4,22
20,44,4,20
20,50,4,18
20,57,4,11
20,70,4,6
20,73,2,
20,80,4,7
20,83,3,
20,86,4,7
21,5,4,6
21,7,4,20
21,8,2,
21,9,2,
21,11,3,
21,17,2,
21,38,3,
21,53,4,24
21,54,2,
21,55,3,
21,66,4,24
21,69,3,
21,82,4,19
21,86,4,12
21,88,4,6
21,90,4,25
21,98,3,
22,11,4,17
22,18,2,
22,45,4,19
22,47,3,
22,51,4,8
22,55,4,18
22,56,4,5
22,82,3,
22,84,4,22
22,86,4,17
22,92,2,
23,23,4,17
23,41,4,23
23,47,4,23
23,54,3,
23,82,3,
24,17,4,17
24,19,2,
24,28,3,
24,31,4,15
24,41,2,
24,43,3,
24,63,4,22
24,64,3,
24,67,4,22
24,68,4,8
24,77,4,10
24,81,4,17
24,89,4,20
24,95,4,12
25,10,4,21
25,16,4,6
25,25,4,6
25,49,4,16
25,76,3,
25,79,4,9
25,81,3,
25,96,4,19
26,4,4,24
26,9,4,25
26,11,4,13
26,53,3,
26,57,2,
26,62,3,
26,74,4,10
26,100,3,
27,9,4,22
27,26,4,24
27,40,4,23
27,43,4,15
27,52,3,
27,61,4,21
27,63,3,
27,67,4,17
27,79,4,20
27,95,2,
28,14,4,8
28,21,4,25
28,26,4,9
28,60,4,9
28,80,2,
28,84,4,16
28,89,4,13
29,3,4,18
29,4,4,17
29,11,4,8
29,22,4,7
29,53,4,22
29,64,3,
29,71,4,25
29,72,3,
29,78,3,
30,19,4,11
30,32,3,
30,34,4,9
30,36,4,15
30,47,4,14
30,48,4,11
30,55,2,
30,57,4,16
30,60,2,
30,73,4,11
30,85,4,16
30,89,4,22
31,6,3,
31,10,3,
31,11,4,22
31,26,4,24
31,42,3,
31,58,4,17
31,62,4,25
31,70,4,15
32,2,4,10
32,5,4,14
32,6,2,
32,14,4,18
32,33,4,9
32,35,4,6
32,37,4,19
32,39,4,25
32,58,4,14
32,80,4,19
33,3,4,19
33,37,4,10
33,38,4,17
33,42,3,
33,49,2,
33,59,4,14
33,63,4,17
33,77,4,20
33,89,4,8
34,4,4,8
34,13,4,17
34,23,2,
34,24,4,22
34,32,2,
34,36,4,14
34,54,4,5
34,65,4,19
34,77,4,6
34,82,4,17
34,97,4,18
35,1,3,
35,2,4,6
35,9,4,19
35,10,4,23
35,21,4,16
35,30,4,17
35,35,4,8
35,42,4,17
35,48,2,
35,62,4,19
35,90,4,13
35,94,4,11
36,2,4,22
36,28,4,15
36,29,4,23
36,44,3,
36,46,4,16
36,57,2,
36,60,4,14
36,67,4,9
36,72,4,21
36,79,4,23
36,80,4,13
36,84,3,
36,98,4,17
37,12,4,25
37,20,4,17
37,26,4,6
37,65,4,25
37,67,4,7
37,71,2,
37,83,4,6
38,1,2,
38,7,4,21
38,8,3,
38,25,4,19
38,29,4,8
38,33,4,21
38,55,3,
38,71,2,
38,74,2,
38,86,3,
38,92,4,24
38,96,3,
39,9,4,15
39,14,3,
39,28,4,7
39,36,3,
39,54,4,8
39,57,4,11
39,64,2,
39,74,4,5
39,75,4,8
39,91,4,24
40,16,4,10
40,21,3,
40,23,4,23
40,34,4,13
40,46,4,11
40,54,4,21
40,78,2,
40,79,4,20
40,83,4,18
40,85,4,8
40,99,2,
40,100,4,10
41,7,4,5
41,12,4,20
41,15,4,12
41,16,3,
41,26,4,9
41,34,2,
41,43,4,20
41,48,3,
41,49,4,24
41,57,3,
41,62,2,
41,85,4,7
41,87,4,8
41,93,2,
42,4,4,14
42,11,2,
42,15,4,23
42,34,2,
42,56,3,
42,58,4,17
42,79,2,
42,88,4,25
42,95,4,18
42,96,4,14
42,99,4,13
43,5,2,
43,35,4,14
43,42,4,8
43,44,4,5
43,49,3,
44,10,4,21
44,32,4,9
44,59,4,17
44,65,4,14
44,72,4,5
44,78,4,16
45,2,2,
45,11,4,14
45,29,4,7
45,47,4,21
45,49,4,20
45,55,4,11
45,60,2,
45,70,3,
46,5,3,
46,25,3,
46,38,3,
46,52,4,8
46,59,4,11
46,63,3,
46,73,3,
46,74,2,
47,32,4,13
47,50,4,12
47,62,2,
47,88,4,22
48,12,3,
48,47,3,
48,58,4,19
48,67,4,15
48,82,3,
48,83,3,
48,92,4,15
48,99,4,6
49,2,2,
49,9,3,
49,19,4,23
49,27,2,
49,28,4,9
49,32,4,17
49,35,4,22
49,39,4,16
49,47,4,21
49,50,3,
49,51,4,23
49,53,3,
49,62,4,25
49,63,4,12
49,65,2,
49,69,3,
49,97,3,
50,1,4,21
50,4,4,21
50,19,4,8
50,21,4,12
50,25,3,
50,34,4,25
50,56,4,6
50,57,2,
50,79,4,24
50,99,3,
51,3,4,10
51,10,4,25
51,39,4,23
51,40,4,11
51,49,4,12
51,53,2,
51,56,3,
51,59,3,
51,84,4,16
51,88,4,7
51,95,4,22
51,100,4,16
52,14,4,16
52,29,4,12
52,35,4,25
52,43,4,21
52,47,4,20
52,53,4,19
52,68,4,22
52,72,4,21
52,82,4,19
52,85,3,
53,4,4,6
53,26,4,11
53,38,3,
53,42,4,12
53,48,2,
53,49,4,14
53,73,4,12
53,77,4,13
53,79,3,
54,1,4,24
54,14,3,
54,21,4,25
54,27,4,20
54,32,4,7
54,47,4,5
54,60,4,7
54,67,4,14
54,93,3,
55,15,4,15
55,21,4,21
55,22,4,18
55,56,4,12
55,57,4,6
55,100,4,21
56,3,4,7
56,7,3,
56,8,4,10
56,17,4,14
56,50,4,9
56,55,4,14
56,69,4,7
56,80,4,11
56,87,2,
56,88,4,9
56,92,3,
57,1,4,5
57,13,3,
57,43,4,13
57,44,3,
57,64,3,
57,66,4,13
57,87,4,14
57,96,4,8
57,100,4,20
58,3,4,5
58,24,4,16
58,27,2,
58,28,4,12
58,32,4,25
58,54,4,25
58,57,4,17
58,79,2,
58,90,4,5
58,98,4,13
58,100,3,
59,5,3,
59,10,4,14
59,13,3,
59,34,4,19
59,48,4,21
59,63,4,15
59,69,2,
59,76,4,16
59,78,2,
59,87,4,9
59,93,4,22
60,5,4,25
60,11,3,
60,20,3,
60,41,4,14
60,75,4,13
60,81,4,24
60,87,4,11
60,97,4,16
60,98,4,19
61,11,2,
61,35,4,23
61,42,3,
61,47,4,17
61,48,2,
61,59,4,16
61,78,2,
61,95,4,19
61,97,4,17
62,7,4,24
62,11,4,24
62,24,4,10
62,27,4,21
62,31,4,12
62,39,3,
62,58,4,15
62,59,4,16
62,75,3,
62,79,2,
63,6,3,
63,7,4,17
63,9,4,11
63,15,3,
63,31,4,10
63,32,4,14
63,44,3,
63,51,4,16
63,54,4,8
63,56,4,6
63,77,4,16
63,83,4,21
63,93,3,
64,3,4,23
64,8,4,8
64,13,4,5
64,30,4,23
64,34,4,25
64,51,4,19
64,71,4,18
64,93,4,10
65,1,3,
65,5,4,16
65,14,4,17
65,22,4,7
65,24,4,18
65,25,2,
65,43,2,
65,56,3,
65,63,4,16
65,67,4,23
65,84,4,9
66,28,4,11
66,30,4,6
66,37,4,24
66,51,4,9
66,68,4,14
66,83,2,
66,99,4,21
67,11,3,
67,25,3,
67,34,3,
67,35,4,6
67,44,4,11
67,59,4,10
67,67,2,
67,97,3,
68,20,2,
68,22,4,12
68,30,4,18
68,36,4,12
68,45,4,20
68,58,3,
68,60,4,22
68,61,4,9
68,64,3,
68,78,4,22
68,92,4,5
69,4,4,21
69,45,2,
69,47,3,
69,50,4,17
69,56,4,7
69,57,3,
69,60,4,11
69,65,4,13
69,73,4,5
69,83,4,16
69,85,4,15
70,13,4,14
70,15,4,11
70,21,4,17
70,38,2,
70,39,3,
70,44,4,14
70,55,4,20
70,89,4,10
70,95,4,17
71,12,4,11
71,18,3,
71,38,4,24
71,39,4,11
71,42,4,17
71,43,2,
71,52,4,18
71,60,3,
71,72,4,7
71,98,4,9
72,10,3,
72,29,4,20
72,59,3,
72,62,4,25
72,66,4,19
72,76,4,15
72,81,4,17
72,86,2,
72,95,2,
73,10,4,15
73,27,4,13
73,28,3,
73,30,4,9
73,37,4,24
73,50,4,16
73,62,4,7
73,68,4,19
73,70,4,19
73,87,4,24
73,98,3,
73,100,4,10
74,7,4,5
74,17,3,
74,47,3,
74,50,4,19
74,55,4,10
74,62,2,
74,63,4,23
74,69,2,
74,87,3,
74,92,4,5
75,29,4,8
75,35,4,21
75,40,4,17
75,79,4,20
76,8,3,
76,24,2,
76,32,4,13
76,38,4,21
76,42,3,
76,46,4,8
76,47,4,23
76,65,3,
76,70,4,5
76,73,3,
76,86,2,
76,92,4,17
76,96,4,17
77,44,3,
77,58,4,25
77,62,4,18
77,80,2,
77,86,2,
78,1,4,23
78,5,2,
78,14,4,12
78,35,4,12
78,49,4,12
78,54,4,24
78,55,4,15
78,57,2,
78,64,3,
78,68,4,7
78,99,4,6
78,100,4,23
79,10,4,18
79,13,4,8
79,20,4,7
79,23,4,11
79,45,4,22
79,48,3,
79,61,4,17
79,80,3,
79,81,4,9
79,88,3,
79,90,4,9
79,92,4,11
80,12,4,10
80,25,3,
80,28,4,15
80,34,4,13
80,49,4,21
80,54,4,12
80,57,3,
80,65,4,12
80,66,4,23
80,68,4,12
80,72,4,17
80,75,4,11
80,96,4,10
81,8,4,6
81,15,4,10
81,54,4,6
81,58,4,14
81,64,4,10
81,65,3,
81,72,4,19
82,15,3,
82,74,4,20
82,90,4,11
82,97,4,17
83,17,3,
83,23,3,
83,35,4,25
83,58,4,19
83,70,2,
83,92,3,
83,95,3,
84,9,4,18
84,14,3,
84,21,4,13
84,24,3,
84,34,3,
84,39,4,5
84,44,4,15
84,50,2,
84,65,4,12
84,71,4,16
84,75,4,8
84,78,4,7
84,84,3,
84,88,4,21
85,1,3,
85,16,4,10
85,20,4,25
85,29,2,
85,31,2,
85,35,4,12
85,37,2,
85,42,4,25
85,44,4,19
85,45,2,
85,46,4,14
85,48,3,
85,49,4,15
85,69,4,8
85,77,4,12
85,92,4,5
86,3,4,23
86,13,4,14
86,20,4,20
86,30,4,6
86,37,3,
86,39,2,
86,44,3,
86,49,4,24
86,58,4,6
86,73,2,
86,87,3,
86,93,2,
86,94,4,8
86,95,3,
86,97,4,15
86,98,4,24
87,10,4,19
87,13,4,24
87,38,4,10
87,42,4,15
87,46,3,
87,51,3,
87,56,4,13
87,57,4,12
87,62,4,13
87,70,2,
87,71,3,
87,73,4,9
88,11,4,21
88,15,4,16
88,25,4,17
88,33,2,
88,39,2,
88,40,4,19
88,46,3,
88,68,4,12
88,78,3,
88,87,4,13
88,97,3,
88,98,4,18
88,100,2,
89,11,4,23
89,28,4,17
89,44,4,24
89,59,3,
89,80,3,
89,92,2,
90,4,4,7
90,11,2,
90,15,4,19
90,36,4,5
90,53,4,14
90,57,3,
90,66,4,15
90,77,4,18
90,97,3,
91,11,3,
91,22,4,8
91,30,4,11
91,39,4,16
91,67,4,19
91,77,4,11
91,91,3,
92,17,4,22
92,19,4,25
92,33,4,8
92,41,4,9
92,58,4,18
92,59,4,5
92,67,4,18
92,69,3,
92,70,4,10
92,80,4,16
92,84,4,13
92,93,3,
92,100,2,
93,14,4,14
93,17,4,15
93,23,4,22
93,44,2,
93,58,4,12
93,64,3,
93,71,4,15
93,85,3,
93,91,4,5
93,95,4,23
93,96,4,24
94,1,4,5
94,7,4,6
94,21,4,6
94,29,3,
94,60,4,8
94,61,3,
94,85,4,5
95,4,4,12
95,6,4,22
95,14,4,24
95,16,4,7
95,17,4,9
95,23,4,18
95,37,4,16
95,43,4,22
95,52,3,
95,65,4,20
95,66,4,5
95,70,4,6
95,72,4,11
96,7,3,
96,9,3,
96,13,4,23
96,28,3,
96,29,4,22
96,46,3,
97,13,4,23
97,21,4,7
97,43,4,10
97,45,4,11
97,53,2,
97,67,3,
97,68,4,14
97,75,4,21
97,76,4,10
97,94,2,
97,99,4,5
98,4,4,8
98,7,2,
98,23,3,
98,27,4,25
98,29,4,13
98,30,4,12
98,37,3,
98,45,4,7
98,69,4,8
98,70,4,6
98,74,4,25
99,4,4,16
99,8,4,17
99,16,2,
99,26,2,
99,47,4,17
99,50,4,23
99,54,4,6
99,80,2,
99,84,4,22
99,87,3,
100,22,2,
100,25,4,15
100,67,4,22
100,70,4,17
101,8,3,
101,9,4,20
101,18,2,
101,21,4,6
101,36,3,
101,41,3,
101,50,4,9
101,65,4,18
101,83,3,
101,94,2,
102,8,4,22
102,14,4,14
102,17,4,14
102,27,4,23
102,34,4,12
102,39,3,
102,65,3,
102,78,3,
102,79,4,9
102,84,4,9
102,100,4,24
103,5,4,13
103,7,4,16
103,16,4,16
103,23,3,
103,38,2,
103,50,4,25
103,52,4,16
103,56,4,25
103,67,3,
103,69,4,14
103,70,4,13
103,74,4,23
103,85,2,
104,2,4,20
104,8,4,21
104,17,4,16
104,26,2,
104,31,3,
104,33,4,5
104,56,4,22
104,58,4,7
104,66,4,9
104,89,4,19
105,3,4,18
105,8,4,13
105,25,4,12
105,26,4,11
105,52,4,5
105,59,3,
105,68,4,8
105,78,4,21
105,82,4,9
105,90,4,6
105,96,2,
106,2,3,
106,13,4,13
106,19,3,
106,25,4,20
106,36,4,14
106,63,4,14
106,71,4,20
106,90,4,24
106,92,4,14
107,2,4,25
107,4,4,25
107,9,4,8
107,26,2,
107,37,3,
107,72,4,6
107,88,4,20
107,98,2,
108,2,3,
108,14,3,
108,24,4,21
108,34,2,
108,37,2,
108,40,4,11
108,47,3,
108,49,4,21
108,65,4,9
108,67,4,15
108,92,4,16
109,11,4,22
109,24,4,6
109,62,2,
109,72,4,14
110,21,4,10
110,25,4,5
110,37,4,10
110,60,4,11
110,63,4,16
110,67,4,25
110,69,4,12
110,78,4,10
110,89,3,
111,1,3,
111,4,3,
111,10,4,11
111,42,2,
111,45,4,5
111,52,4,22
111,77,4,10
111,84,3,
111,93,4,5
112,21,4,16
112,31,4,18
112,46,4,6
112,63,3,
112,70,4,23
112,72,4,24
112,76,3,
112,81,4,17
112,85,4,16
113,5,4,9
113,8,4,14
113,11,4,19
113,43,4,18
113,60,4,8
113,83,4,19
114,3,4,11
114,15,4,16
114,40,4,9
114,47,4,5
114,52,3,
114,54,4,12
114,84,4,23
114,98,4,23
115,16,4,21
115,17,4,10
115,22,2,
115,40,4,9
115,55,4,16
115,86,4,10
115,99,4,6
116,33,3,
116,62,2,
116,75,4,7
116,78,4,14
116,87,4,10
116,94,4,14
117,10,3,
117,12,3,
117,14,4,13
117,16,3,
117,23,4,24
117,32,3,
117,53,4,16
117,55,2,
117,57,3,
117,72,4,16
117,89,2,
118,26,4,16
118,27,4,18
118,31,2,
118,34,4,16
118,39,3,
118,44,4,13
118,48,3,
118,57,2,
118,59,3,
118,75,4,18
118,89,4,16
119,1,4,17
119,12,4,12
119,20,3,
119,21,3,
119,24,4,15
119,30,4,23
119,34,3,
119,38,4,13
119,50,4,10
119,60,4,11
119,65,4,7
119,72,4,7
119,74,4,17
119,79,4,7
119,87,4,21
120,3,4,22
120,4,3,
120,11,4,7
120,13,4,13
120,15,4,16
120,19,4,6
120,23,4,10
120,30,4,20
120,39,2,
120,43,4,15
120,47,4,14
120,69,4,6
120,77,4,22
120,81,3,
120,93,4,18
121,17,4,6
121,42,4,11
121,65,4,25
121,72,4,21
121,73,4,23
121,85,4,24
122,17,4,11
122,18,4,11
122,26,4,25
122,35,4,13
122,74,4,7
123,42,4,18
123,44,4,6
123,52,4,21
123,59,4,12
123,68,4,24
123,74,3,
123,81,4,23
123,90,4,11
124,3,4,25
124,21,4,7
124,22,4,19
124,43,4,24
124,47,3,
124,64,4,19
124,79,4,23
124,82,2,
124,83,3,
124,100,2,
125,8,3,
125,25,4,10
125,42,4,18
125,64,4,25
125,68,4,18
125,81,4,11
125,85,4,21
126,8,4,22
126,11,4,24
126,32,4,23
126,37,4,16
126,40,3,
126,42,4,15
126,71,3,
126,78,3,
126,87,4,7
126,88,4,12
126,89,2,
127,1,2,
127,6,3,
127,24,4,15
127,42,4,6
127,65,4,6
127,74,3,
127,78,4,13
128,4,2,
128,28,4,11
128,40,4,20
128,48,4,13
128,50,4,18
128,60,4,8
128,68,4,16
128,75,4,19
128,78,4,10
128,80,4,25
128,88,4,16
128,89,4,24
129,6,4,22
129,23,2,
129,28,4,21
129,32,4,17
129,40,4,12
129,41,3,
129,43,4,24
129,45,4,22
129,57,4,10
129,68,4,25
129,73,3,
129,75,4,20
129,94,3,
130,5,4,18
130,8,3,
130,9,3,
130,17,3,
130,21,4,15
130,25,4,10
130,56,4,22
130,67,3,
130,72,4,18
130,80,4,11
131,2,4,25
131,4,4,13
131,20,2,
131,21,4,12
131,26,2,
131,36,4,8
131,43,4,10
131,55,4,5
131,65,4,17
131,68,4,15
131,69,4,16
131,77,4,10
131,86,4,20
132,9,4,9
132,33,4,23
132,37,3,
132,52,2,
132,59,2,
132,62,4,20
132,95,3,
133,16,4,23
133,17,4,19
133,19,4,20
133,22,2,
133,23,2,
133,24,3,
133,33,4,9
133,48,4,16
133,51,2,
133,54,3,
133,56,2,
133,58,4,9
133,67,2,
133,84,2,
133,97,3,
134,8,4,14
134,15,4,25
134,19,4,24
134,21,4,12
134,26,4,10
134,41,3,
134,68,2,
134,71,2,
134,82,4,19
134,95,2,
135,1,3,
135,16,4,10
135,29,4,25
135,51,3,
135,61,2,
135,66,4,11
135,69,2,
135,72,4,12
136,12,4,7
136,25,4,6
136,35,4,15
136,74,4,10
136,78,4,8
136,84,4,9
136,91,3,
136,95,3,
137,24,4,19
137,29,4,5
137,30,4,18
137,33,3,
137,39,4,21
137,41,4,18
137,53,3,
137,87,4,12
137,88,3,
137,89,3,
138,10,4,8
138,22,4,6
138,25,4,5
138,33,4,21
138,38,4,6
138,43,4,21
138,44,4,14
138,49,4,19
138,55,4,18
138,72,4,24
138,77,4,19
138,88,4,8
139,1,4,13
139,34,4,16
139,35,3,
139,41,4,12
139,59,2,
139,73,2,
139,75,4,7
139,85,4,16
139,91,2,
140,11,3,
140,14,4,19
140,36,3,
140,46,3,
140,48,3,
140,56,2,
140,59,4,13
140,72,4,12
140,74,3,
140,93,4,25
140,100,4,15
141,20,2,
141,29,4,17
141,36,3,
141,64,3,
141,77,2,
141,81,3,
141,90,4,11
141,97,4,20
142,48,3,
142,76,4,9
142,83,4,11
142,90,3,
143,3,4,21
143,22,4,5
143,32,4,25
143,94,4,8
143,98,4,25
144,3,4,19
144,7,4,8
144,11,4,10
144,27,4,18
144,37,3,
144,38,3,
144,63,4,11
144,81,4,8
144,94,4,22
145,10,3,
145,11,4,22
145,31,4,21
145,35,3,
145,42,3,
145,44,3,
145,46,3,
145,52,4,20
145,53,4,22
145,68,4,9
145,77,4,21
145,85,3,
146,2,4,7
146,5,4,24
146,38,4,7
146,52,4,11
146,56,4,8
146,58,4,8
146,60,4,13
146,62,4,25
146,65,4,5
146,88,4,16
146,94,2,
146,96,3,
147,12,4,21
147,15,4,16
147,19,4,20
147,26,4,7
147,30,4,12
147,51,4,9
147,71,3,
147,74,4,15
147,78,2,
147,80,4,6
148,4,4,23
148,8,4,17
148,17,2,
148,20,4,15
148,32,4,22
148,41,4,24
148,43,4,10
148,62,4,8
148,73,4,16
148,79,3,
148,83,4,14
148,94,4,11
149,16,4,6
149,17,4,24
149,22,4,16
149,38,4,7
149,49,2,
149,52,4,18
149,53,2,
149,60,4,23
149,71,4,6
149,81,2,
149,83,4,25
149,87,2,
149,91,4,20
149,100,4,6
150,20,4,5
150,42,2,
150,43,4,12
150,45,4,11
150,52,4,15
150,62,4,9
150,78,4,22
150,85,3,
150,95,3,
150,100,4,17
151,6,3,
151,15,4,10
151,19,3,
151,22,4,22
151,30,4,12
151,32,2,
151,43,2,
151,76,2,
151,79,4,19
151,94,3,
152,13,4,21
152,20,4,25
152,24,4,20
152,37,2,
152,57,4,24
152,58,3,
152,66,2,
152,79,4,15
152,83,3,
152,86,4,16
152,99,4,19
153,13,3,
153,17,4,5
153,20,4,12
153,22,3,
153,41,4,5
153,46,3,
153,61,4,22
153,77,4,21
153,85,4,24
153,94,4,23
154,2,3,
154,6,4,21
154,21,4,23
154,29,4,8
154,34,4,13
154,56,3,
154,77,4,13
154,89,4,21
154,96,4,21
154,97,4,16
155,1,2,
155,13,4,22
155,19,4,11
155,25,4,15
155,32,3,
155,39,4,19
155,40,2,
155,58,4,18
155,61,4,14
155,73,4,18
155,89,4,21
155,91,4,19
155,93,2,
155,98,4,19
156,4,4,6
156,24,3,
156,26,4,10
156,40,4,16
156,46,4,13
